userId	geneSymbol	geneName	entrezgene	score	gLink
A4GALT	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	53947	302.598213553372	https://www.ncbi.nlm.nih.gov/gene/?term=53947
AACSP1	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	729522	141.660520683612	https://www.ncbi.nlm.nih.gov/gene/?term=729522
AADACL2	AADACL2	arylacetamide deacetylase like 2	344752	0.914606384994994	https://www.ncbi.nlm.nih.gov/gene/?term=344752
AADACL2-AS1	AADACL2-AS1	AADACL2 antisense RNA 1	101928142	22.5451712778747	https://www.ncbi.nlm.nih.gov/gene/?term=101928142
AADAT	AADAT	aminoadipate aminotransferase	51166	462.303661279564	https://www.ncbi.nlm.nih.gov/gene/?term=51166
AAK1	AAK1	AP2 associated kinase 1	22848	1145.71227553773	https://www.ncbi.nlm.nih.gov/gene/?term=22848
AAR2	AAR2	AAR2 splicing factor homolog	25980	1099.66553991244	https://www.ncbi.nlm.nih.gov/gene/?term=25980
AARD	AARD	alanine and arginine rich domain containing protein	441376	33.2002497212668	https://www.ncbi.nlm.nih.gov/gene/?term=441376
AASDHPPT	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	1149.80635800139	https://www.ncbi.nlm.nih.gov/gene/?term=60496
AASS	AASS	aminoadipate-semialdehyde synthase	10157	1144.70617440768	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATK	AATK	apoptosis associated tyrosine kinase	9625	955.729887889034	https://www.ncbi.nlm.nih.gov/gene/?term=9625
ABAT	ABAT	4-aminobutyrate aminotransferase	18	828.353360850558	https://www.ncbi.nlm.nih.gov/gene/?term=18
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	17.2082440776665	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA10	ABCA10	ATP binding cassette subfamily A member 10	10349	7.54647010489831	https://www.ncbi.nlm.nih.gov/gene/?term=10349
ABCA12	ABCA12	ATP binding cassette subfamily A member 12	26154	214.145934364401	https://www.ncbi.nlm.nih.gov/gene/?term=26154
ABCA17P	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	650655	33.9508748536361	https://www.ncbi.nlm.nih.gov/gene/?term=650655
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	5902.74389821518	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA4	ABCA4	ATP binding cassette subfamily A member 4	24	12.2392641296762	https://www.ncbi.nlm.nih.gov/gene/?term=24
